ANO;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
1976;42,1;156,9;11,3;0,828;460;762,5;3,5;359;2439;1427,3;3780,5;84,5;3045,7;209,8;368,1;556,5;371,4;12348,7;139,5;245,5;151,2;13,2;11528,8;3632;71,7;4733,6;0
1977;42,9;152,3;11;0,763;704,9;667,1;3,4;373,5;1959,7;1446;3726,8;987,2;1311;201,3;272,5;467,2;376;7786,7;147,1;204,6;154,8;8,6;10770,9;2727,2;72,8;3637,1;0
1978;36,8;160,2;14,1;1,428;718,1;466,3;9,4;256,4;3053,8;1341,7;3722,8;1663,4;1164,6;246,4;256;443,6;294,8;11350,6;128,9;127,7;168,6;3;8362,2;2754,2;75,3;4734,4;0
1979;49,1;66,3;20,9;1,222;802;320,5;16,8;299,7;3578,1;1596,5;4255,9;2178,7;1472,4;267;140,1;188;200;13565,5;145;41,2;300,2;30,7;12402,3;3677,2;66,7;5189,2;0
1980;55,5;110,6;16,5;3,51;652,7;203,5;39;335;3207,8;955,1;4344,8;2278,8;1522,1;198,5;133,6;160,6;203;13347;148,6;59,2;344;45,5;14083,5;4173,8;87,5;5502,5;0
1981;60,4;191;14,5;3,008;612,8;562,9;54,27;357,3;3886,4;1669,1;4674,1;2232,4;1640,8;329,9;146,2;267,6;395,7;12326,1;178,1;98,1;370,6;34,9;10853,8;3684,6;163,3;6053,2;0
1982;47;43,6;7,2;2,864;447,8;156,3;66,4;279,1;3752,7;619,8;4246,2;2676,4;1856,7;210,8;79,8;72,9;121,7;11925,2;179,1;27,1;235,4;7,4;12086,5;2619,8;31,7;5855,1;0
1983;64,2;152,1;4,1;2,201;439,4;714,5;75,2;348,9;3510,7;1432,7;3986,4;2742,3;1981,9;321,3;410,6;476,6;468,9;11986,5;179,9;239,8;391,2;11,8;13166,6;4013,9;115,6;5193,7;0
1984;58,1;139,4;6,1;2,399;1184,2;472,6;108,3;366,9;4148,9;773;5058,4;3636,5;2641,6;291,5;325;371,7;481,5;14408,4;181,3;138,8;310,9;13,3;13335,1;3734,1;119,2;5836,1;0
1985;72,9;212,1;7,9;1,274;1216,7;540,9;114,2;394,4;4824;1386,3;5372,6;3084,7;3259,3;336;353,5;414,2;842,1;10825,8;200,8;179,4;405,9;18;10461,5;3286,8;173;5940,9;0
1986;80,1;134,4;7,5;0,961;621,1;281,2;155,5;420,3;5789,6;848,3;5433,1;4123,7;4123,4;379,3;141,7;178,2;343,3;16064,5;159,8;36;395,6;16,6;14837,3;3753,3;76,8;6547,7;0
1987;89,1;144,2;6,9;1,373;1161,4;922,4;159,2;372,7;5398,4;1650,6;5718,7;4217,4;4519,1;532;323,6;307,8;951,2;15125,6;168,8;191,8;497,4;11,2;12250,3;4051,4;130,7;6565,6;838,7
1988;98,7;180,3;10,3;1,64;1321,1;576,6;184,8;444,5;6190,8;1428,2;5712,7;4479;5492,3;573;336,1;353,8;808,2;14537,75;180,3;139,2;579,6;23;15614,1;4293;147,2;6875,6;905,8
1989;99,4;145;6,9;1,23;730,7;539,6;135,1;347,1;3879,6;628,6;4225;3058,9;4179,9;383,9;166,1;214,1;332,5;12357;109;44,1;455,3;14,2;15991,5;4255,9;139,3;5480,5;359,9
1990;101,4;131,9;12,3;0,5;1663,6;808,5;205,1;457,1;5147,8;1395,7;6028,6;3767,4;3991,6;524,9;298,8;396;697,1;11718,9;118,8;183,1;432,8;19,4;10115,4;2867;129,8;6281,6;404,6
1991;117,7;116,4;12;0,3;1748,6;455,9;195,1;449,8;5447,8;695,2;6081,6;3246,2;5257,6;451,8;178;125,1;325,9;13727,6;128,1;108,5;524,3;34,5;17360,4;4954,7;93,7;6171,6;393,9
1992;117,7;32,9;12;0,2;1337;144,6;164,2;498,7;4967,8;839,3;6431,7;3501,4;5867,4;480,3;17,9;36;214,1;14558,3;160,2;3,4;570,5;34,5;16908,9;4816,3;37,9;6074;426
1993;121,4;185,1;11,2;0,3;1963,2;1022,5;209,6;364;6464,9;1443,1;6333;4004,6;7183,6;565,6;305,9;474,7;1009;15667,9;125,7;209,9;761,3;59;16160,6;5147,9;140,3;5579,7;521
1994;115,7;152;19,2;0,7;2349,6;908,9;182,5;214,7;6423,7;1562,3;6396,9;4276,8;7617,2;779,9;281,4;482,9;946,4;16907;91,9;178,1;751,9;65,6;17958,4;5429,7;157,7;6254,6;559,2
1995;119,1;132,9;11,5;0,5;1898;1099,5;189,8;318,8;6371,5;1629,1;5944,6;3943,6;7173,2;705,3;417,2;487,8;954,4;17246;86,4;191;745;70,5;13137,7;4607,7;177,7;5415,8;490,1
1996;86,8;187,5;16,1;0,5;2830,7;603,4;232,5;234,5;7023,1;1464,8;6639,9;4480,1;8377,3;701,5;361,2;388;640,3;17362,9;72,3;107,2;730,3;65,6;14094,4;5270,4;163,5;5809;482,9
1997;63,7;134,2;47,6;0,5;2356,5;247,9;227,14;191,6;6782,938;1117,4;6124,725;4019,188;9804;908,6;8,5;43,2;230,3;17097,817;65,7;16,2;525,1;66;15763,6;4214,8;160,9;5812,796;527,8
1998;75,1;129,2;52,1;1,7;2643,6;801,6;246,2395;171,9;7775,76;1336,7;6295,38;4932,68;10612,1;1127;74,6;119,6;575,4;18795,89;57,2;44,6;453;72,4;14890,7;4306,6;183;6039,238;624,6
1999;92,1;97,8;55,6;2,1;3696;1090,6;280,57;159,3;8613,14;1501,7;6400,04;4043,98;12536,5;1132,3;248,1;269,8;674,8;15672,325;53,1;105,6;503,9;70,9;15266;4875,4;166,5;4802,876;618,9
2000;92,8;202,6;56,6;3,8;3016,2;395,2;249,764;169,7;9132,3;1495,3;6492,5;5896,92;13824,28;1020,5;23,9;98,7;510,7;23977,2;46;19,6;505,8;76,5;20171,5;5623,5;166,6;6374,113;624,3
2001;89;142,2;41,7;4;2809,9;943;294,9;175,2;9715,2;1524,1;7543,9;5162,5;15860,6;981,8;139,7;169,1;292,1;21553,4;39,7;121,6;438,1;108,8;16576,7;4860;113,6;6335,8;762,4
2002;90,1;60,8;48,7;5,2;3694,1;1083,1;356,4;179,1;11219,2;1816,2;8661,5;7906;18481,7;1194,5;212;173,5;864,7;29044,8;35,9;152,2;464,9;156,8;22413,4;6415,3;211,6;7242,9;983,4
2003;98,2;61,1;48,4;5,5;4880,6;658;354,7;156,2;11190,2;2122,8;9715,1;6496,8;21711,6;1222;226,8;221,7;748,2;25714,4;38;143,3;663,5;206,6;18205,4;5358,6;198,9;7431,2;1236,4
2004;109,9;104;61,5;5,9;5200,7;557,8;450,3;151,4;11329,6;2187,6;10413,5;6015,4;24731,1;1497,4;171,3;363,7;1059,4;22474,2;42,1;125,3;758,1;224,6;13201,9;4864,6;238,6;6786,4;1568,7
2005;95,31;121,10777;53,4408;5,496;4140,382345;1142,176197;437,34794;111,668;10826,38177;2209,465125;8798,125;7303,123;22580,94701;1296,2;304,79725;414,63552;1100,43744;25344,236;41,04;123,3372;751,28;175,5;21313,226;5431,895;249,142;6990,98042;1169,105
2006;93,4;110,6;70,4;5,2;5215,8;548,9;504,3;115,5;11288,8;2298,3;9799,4;8410,2;23495,6;1137,1;127,7;276;867,1;28400,7;38,1;102,2;767,6;154,2;23471,9;6440,8;281,8;6361,5;1367,5
2007;65,3;114,4;48,4;7,3;6077,1;1133,1;570,4;118,6;13062;2520,8;10220,2;8631,7;28193,4;1187,7;228,6;381,9;1475,6;30517,6;32,7;112,3;886,2;189,3;22640,7;6457,8;526,6;7062,8;1674,8
2008;65,2;101,5;44,5;8,3;5584,5;844,5;503,8;120,5;13225,7;2154;10445,2;7082,5;28307,7;1116;257,8;390,3;1582;24946,4;32,8;94,1;853,4;122,5;22578;5790,4;674,2;6606,4;1602,3
2009;85,4;93,9;44,9;9,4;6603,7;336,6;520;103,3;13463,7;2461,7;10149,2;9568,7;28855,8;1074,1;10,9;243,1;1384,4;31354,6;29,8;28,8;941,2;105,8;25398,4;6659,7;810,4;7040,9;1876,5
2010;115;100,8;48,1;8,1;7340,8;1342,7;559,1;99,2;16126;3308,5;10650,4;9124,9;30949,1;1105,1;144,8;372,3;2262,3;32446,4;27,9;108;991,8;132,5;28825;6470,9;1017,7;6915,6;2210
2011;126,9;56,1;54,3;5,6;6331,2;171,9;609,5;93,9;18597,8;2922,5;12209,8;11610,4;40353;1172,7;7,8;73,1;2286;31447,7;23,9;8,1;1094,3;131,4;20888,8;5477,6;609,9;7437,1;2370,8
2012;136,2081;54,8;42;5;5381,9;221,1;758,8;76,6;17696,8;3572,5;12093,6;13914,1;45907,9;1349;46,2;77,2;1601,1;36585,9609;20,5;13;1204,7;157,6;29711,9776;6332;1025,2;8044;2628,3
2013;123,81;67,2;42;5,6;7674,204;572,6;1130;74,1;18293,43;4333,7088;11683,5164;14617;47702,4833;1416,528;58,1;188,9;2777,3102;35592,18;15,9;38,3;1223,698;142,43;28677,858;6568,181;1123,5;6174,5182;3356,9484
2014;108,7116;70,1;53,2;4,4;8070,78;259,2;753,5186;38,5;18965,95;4165,1296;11835,9174;16782,46;51718,792;1911,3712;30,3;146,2;3134,0114;37659,0912;8,9;17;1527,629;159,203;32439,3572;6428,12;723,9;7406,496;4217,7344
2015;108,2032;44,5;21,8;4,1;5292,7707;227,3;549,8;51,2;17549,712;2481,717;11825,5083;13765,7;43672,1;2142,2867;33,1;68,3;1480,495;35842,017;8,2;18,3;1582,47384;155,6;33023,05;6245,9331;180,9;7575,7016;2922,6396
2016;92,5;63,3;42,5;58,6942;8081,1326;550,4;811,18;49,4;22164,8365;4790,717;14080,028;18784,22;62182,3032;2696,027;70,5;113,4;3645,4976;41187,3422;9,3;28,8;1864,028;230,7;35639,1292;6962,132;862,4;9019,1085;4543,148
2017;93,269;86,4;30,275;62,6568;9719,128;539,4;796,345;54,3;21693,5003;5637,97;14377,085;16515,092;62608,5768;2617,888;135,4;220;4263,4165;35866,3216;4,6;43,3;1982,8752;265,2414;34497,3409;6342,6488;145,1;8433,5336;4624,4818
2018;97;87,8;38,7;60,4;8353,5;517,8;834,8;46;25298,7;5030,6;14518,1;19573,7;67998,8;2632,1;74,5;221;4736,7;36919,8;5,9;63,4;2192,4;283,3;35922;6686;801,7;8761,1;5078
2019;102;104,1;41,7;62,8;10102,8;798,7;872,8;47,4;27547,2;5600,2;15371,3;20548;74898,9;2870,1;138,1;314,4;5038,5;40854;5,4;63,6;2405,3;314,3;26333,3;6530,9;949,5;9247,5;5853,4
